record_key,destination_key,feature_group,feature_key,feature_value,availability_level,proximity_band,display_label,evidence_summary,source_name,source_url,source_as_of_date,confidence,matching_enabled,display_enabled,notes
lf_ascoli_piceno_it_mountain_access,ascoli-piceno-it,natural_setting,mountain_access,MOUNTAIN_SCENIC_ONLY,NOT_APPLICABLE,IN_DESTINATION,Mountain access,Mirrors existing DESTINATIONS.mountain_or_ski_access = MOUNTAIN_SCENIC_ONLY; city directly borders Monti Sibillini and Monti della Laga National Parks.,DESTINATIONS.mountain_or_ski_access (existing authoritative field),,,HIGH,NO,YES,"Mirrored value, not independently researched."
lf_ascoli_piceno_it_lake_access,ascoli-piceno-it,natural_setting,lake_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Lake access,No named lake within a confirmed regional radius identified in this research pass.,,,,LOW,NO,YES,
lf_ascoli_piceno_it_river_access,ascoli-piceno-it,natural_setting,river_access,NOT_APPLICABLE,MODERATE,IN_DESTINATION,River access,City sits at the confluence of the River Tronto and River Castellano; 'the River Castellano is a site for swimming and bathing in summer' per Wikipedia.,Wikipedia,https://en.wikipedia.org/wiki/Ascoli_Piceno,2026-08-27,MEDIUM,YES,YES,
lf_ascoli_piceno_it_forest_access,ascoli-piceno-it,natural_setting,forest_access,NOT_APPLICABLE,STRONG,WITHIN_30_MIN,Forest / woodland access,"Borders two national parks (Monti Sibillini NW, Monti della Laga S) with extensive forested terrain.",Wikipedia,https://en.wikipedia.org/wiki/Ascoli_Piceno,2026-08-27,MEDIUM,YES,YES,
lf_ascoli_piceno_it_desert_setting,ascoli-piceno-it,natural_setting,desert_setting,NOT_APPLICABLE,NONE,NOT_APPLICABLE,Desert setting,Humid subtropical (Koppen Cfa) climate; no arid/desert biome.,Wikipedia,https://en.wikipedia.org/wiki/Ascoli_Piceno,2026-08-27,MEDIUM,YES,YES,
lf_ascoli_piceno_it_countryside_access,ascoli-piceno-it,natural_setting,countryside_access,NOT_APPLICABLE,STRONG,IN_DESTINATION,Countryside access,"Surrounding frazioni (Piagge, Lisciano, Colle San Marco, etc.) are agricultural/rural countryside; existing NEIGHBORHOODS sheet already documents an 'Eco/rural fringe' area type.",Wikipedia,https://en.wikipedia.org/wiki/Ascoli_Piceno,2026-08-27,MEDIUM,YES,YES,
lf_ascoli_piceno_it_snow_access,ascoli-piceno-it,natural_setting,snow_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Snow / winter-scenery access,"Sibillini/Monti della Laga area is known to have minor regional ski facilities, but no specific currently-operating ski area could be confirmed in this research pass.",,,,LOW,NO,YES,
lf_ascoli_piceno_it_marina_access,ascoli-piceno-it,water_and_boating,marina_access,NOT_APPLICABLE,NONE,NONE,Marina access,"Confirmed inland location at the confluence of the Tronto and Castellano rivers, with no coastal or lake frontage (see coastal_setting); a marina requires coastal, lake, or harbor access that is not present here.",Wikipedia,https://en.wikipedia.org/wiki/Ascoli_Piceno,2026-08-27,MEDIUM,YES,YES,
lf_ascoli_piceno_it_boat_launch_access,ascoli-piceno-it,water_and_boating,boat_launch_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Boat ramp / launch access,No boat ramp was identified in this pass; absence from a search is not affirmative evidence of absence and this remains unconfirmed.,Inferred from confirmed inland/no-coastal-frontage geography,https://en.wikipedia.org/wiki/Ascoli_Piceno,,LOW,NO,YES,
lf_ascoli_piceno_it_slip_or_mooring_access,ascoli-piceno-it,water_and_boating,slip_or_mooring_access,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Boat slip / mooring availability,No marina exists at the destination (see marina_access).,Inferred from marina_access finding,,,MEDIUM,YES,YES,
lf_ascoli_piceno_it_powerboating_access,ascoli-piceno-it,water_and_boating,powerboating_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Powerboating,"No powerboating operator or infrastructure was identified in this pass; this is a research gap, not a confirmed absence.",Inferred from confirmed inland/no-coastal-frontage geography,https://en.wikipedia.org/wiki/Ascoli_Piceno,,LOW,NO,YES,
lf_ascoli_piceno_it_sailing_access,ascoli-piceno-it,water_and_boating,sailing_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Sailing,No sailing club or operator was identified in this pass; absence from a search is not affirmative evidence of absence.,Inferred from confirmed inland/no-coastal-frontage geography,https://en.wikipedia.org/wiki/Ascoli_Piceno,,LOW,NO,YES,
lf_ascoli_piceno_it_fishing_access,ascoli-piceno-it,water_and_boating,fishing_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Fishing access,"Rivers Tronto/Castellano plausibly support recreational fishing, but no licensed access point or club was confirmed in this research pass.",,,,LOW,NO,YES,
lf_ascoli_piceno_it_kayaking_access,ascoli-piceno-it,water_and_boating,kayaking_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Kayaking,No confirmed kayaking outfitter/route on the Tronto or Castellano in this research pass.,,,,LOW,NO,YES,
lf_ascoli_piceno_it_paddleboarding_access,ascoli-piceno-it,water_and_boating,paddleboarding_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Paddleboarding,No evidence found either way.,,,,LOW,NO,NO,
lf_ascoli_piceno_it_swimming_access,ascoli-piceno-it,water_and_boating,swimming_access,NOT_APPLICABLE,MODERATE,IN_DESTINATION,Swimming access,River Castellano documented as a summer swimming/bathing site.,Wikipedia,https://en.wikipedia.org/wiki/Ascoli_Piceno,2026-08-27,MEDIUM,YES,YES,
lf_ascoli_piceno_it_surfing_access,ascoli-piceno-it,water_and_boating,surfing_access,NOT_APPLICABLE,NONE,NOT_APPLICABLE,Surfing,"The destination is confirmed inland with no ocean coastline (see coastal_setting); surfing requires open-ocean coastal access, which is definitionally absent here.",Inferred from confirmed inland/no-coastal-frontage geography,https://en.wikipedia.org/wiki/Ascoli_Piceno,,MEDIUM,YES,YES,
lf_ascoli_piceno_it_scuba_snorkeling_access,ascoli-piceno-it,water_and_boating,scuba_snorkeling_access,NOT_APPLICABLE,NONE,NOT_APPLICABLE,Scuba diving / snorkeling,"The destination is confirmed inland with no coastal or lake frontage (see coastal_setting); recreational diving/snorkeling requires a body of water with sufficient depth and visibility, which is not present here.",Inferred from confirmed inland/no-coastal-frontage geography,https://en.wikipedia.org/wiki/Ascoli_Piceno,,MEDIUM,YES,YES,
lf_ascoli_piceno_it_golf_access,ascoli-piceno-it,outdoor_recreation,golf_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Golf access,No PLACES row exists for golf and no course was independently confirmed in this research pass.,,,,LOW,NO,YES,
lf_ascoli_piceno_it_pickleball_access,ascoli-piceno-it,outdoor_recreation,pickleball_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Pickleball,No evidence found either way.,,,,LOW,NO,NO,
lf_ascoli_piceno_it_tennis_access,ascoli-piceno-it,outdoor_recreation,tennis_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Tennis,No evidence found either way; Italian towns of this size commonly have municipal tennis courts but none was specifically confirmed.,,,,LOW,NO,YES,
lf_ascoli_piceno_it_skiing_snowboarding_access,ascoli-piceno-it,outdoor_recreation,skiing_snowboarding_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Skiing / snowboarding,See snow_access - regional Sibillini ski areas are plausible but unconfirmed this pass.,,,,LOW,NO,YES,
lf_ascoli_piceno_it_hiking_access,ascoli-piceno-it,outdoor_recreation,hiking_access,NOT_APPLICABLE,STRONG,IN_DESTINATION,Hiking,"Existing PLACES trail row: Colle San Marco (plateau, hiking, panoramic regional recreation).","Batch #2 workbook (existing, untouched v3.2)",,,MEDIUM,YES,YES,"Reused directly from existing PLACES, not re-researched."
lf_ascoli_piceno_it_trail_access,ascoli-piceno-it,outdoor_recreation,trail_access,NOT_APPLICABLE,STRONG,IN_DESTINATION,Walking / multi-use trails,Existing PLACES trail row (Colle San Marco) plus Parco dell'Annunziata elevated walking green space.,"Batch #2 workbook (existing, untouched v3.2)",,,MEDIUM,YES,YES,Reused directly from existing PLACES.
lf_ascoli_piceno_it_road_cycling_access,ascoli-piceno-it,outdoor_recreation,road_cycling_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Road cycling,No confirmed cycling route/lane found in this research pass.,,,,LOW,NO,YES,
lf_ascoli_piceno_it_mountain_biking_access,ascoli-piceno-it,outdoor_recreation,mountain_biking_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Mountain biking,No evidence found either way.,,,,LOW,NO,NO,
lf_ascoli_piceno_it_hunting_access,ascoli-piceno-it,outdoor_recreation,hunting_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Recreational hunting access (general/regional only),"General regional hunting is common in Apennine Italy but no destination-specific confirmation was sought or found (general lawful access only, no licensing detail recorded).",,,,LOW,NO,YES,
lf_ascoli_piceno_it_parks_open_space_access,ascoli-piceno-it,outdoor_recreation,parks_open_space_access,NOT_APPLICABLE,MODERATE,IN_DESTINATION,Parks & open space,Existing PLACES park row: Parco dell'Annunziata / Parco della Rimembranza.,"Batch #2 workbook (existing, untouched v3.2)",,,HIGH,YES,YES,Reused directly from existing PLACES.
lf_ascoli_piceno_it_arts_culture_strength,ascoli-piceno-it,culture_and_daily_life,arts_culture_strength,NOT_APPLICABLE,STRONG,NOT_APPLICABLE,Arts & culture strength,"Existing PLACES museum rows (5: Pinacoteca Civica, Galleria Osvaldo Licini, Museo Ceramica, Forte Malatesta, Cartiera Papale) plus Teatro Ventidio Basso.","Batch #2 workbook (existing, untouched v3.2)",,,HIGH,YES,YES,No new external research this phase - derived from existing PLACES.
lf_ascoli_piceno_it_dining_strength,ascoli-piceno-it,culture_and_daily_life,dining_strength,NOT_APPLICABLE,MODERATE,NOT_APPLICABLE,Dining,Existing PLACES has 2 restaurant rows plus bakery/brewery_winery entries.,"Batch #2 workbook (existing, untouched v3.2)",,,HIGH,YES,YES,Existing PLACES evidence only.
lf_ascoli_piceno_it_farmers_market_access,ascoli-piceno-it,culture_and_daily_life,farmers_market_access,NOT_APPLICABLE,MODERATE,IN_DESTINATION,Farmers markets,Existing PLACES farmers_market row for the traditional weekly open-air market.,"Batch #2 workbook (existing, untouched v3.2)",,,HIGH,YES,YES,Existing PLACES evidence only.
lf_sarande_al_settlement_type,sarande-al,community_form,settlement_type,RESORT_COMMUNITY,NOT_APPLICABLE,NOT_APPLICABLE,Community type,city_type 'coastal resort city'; existing narrative describes a highly seasonal summer resort economy.,"Batch #2 workbook (existing, untouched v3.2)",,,HIGH,YES,YES,PRIMARY
lf_sarande_al_settlement_type_2,sarande-al,community_form,settlement_type,SMALL_CITY,NOT_APPLICABLE,NOT_APPLICABLE,Community type,"Population 20,227.","Batch #2 workbook (existing, untouched v3.2)",,,HIGH,YES,YES,SECONDARY
lf_sarande_al_suburban_character,sarande-al,community_form,suburban_character,NOT_APPLICABLE,NONE,NOT_APPLICABLE,Suburban character,"Compact waterfront city form, not a suburban district.","Batch #2 workbook (existing, untouched v3.2)",,,MEDIUM,YES,YES,
lf_sarande_al_resort_orientation,sarande-al,community_form,resort_orientation,NOT_APPLICABLE,STRONG,NOT_APPLICABLE,Resort orientation,"Official tourism agency profile centers Sarande's identity on coastal holidays, hospitality and Ionian-coast attractions.",akt.gov.al (Albanian National Tourism Agency),https://akt.gov.al/en/cities/Saranda/,2026-08-27,HIGH,YES,YES,
lf_sarande_al_retirement_orientation,sarande-al,community_form,retirement_orientation,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Retirement-community character,No official retirement-specific recognition found; existing narrative discusses retiree/slow-traveler fit generally but without a strength claim worth asserting further.,,,,LOW,NO,YES,
lf_sarande_al_college_town_character,sarande-al,community_form,college_town_character,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,College-town character,"The official tourism-agency city profile does not mention a university, but a tourism-oriented profile's silence on this topic is not affirmative evidence that no institution exists.",akt.gov.al city profile (no university mentioned),https://akt.gov.al/en/cities/Saranda/,,LOW,NO,YES,
lf_sarande_al_master_planned_or_gated_character,sarande-al,community_form,master_planned_or_gated_character,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Master-planned / gated community presence,No evidence found either way this pass.,,,,LOW,NO,YES,
lf_sarande_al_community_energy,sarande-al,community_form,community_energy,SEASONALLY_VARIABLE,NOT_APPLICABLE,NOT_APPLICABLE,Everyday atmosphere,Existing narrative documents a highly seasonal summer economy with off-season quiet and peak-season crowding.,"Batch #2 workbook (existing, untouched v3.2)",,,MEDIUM,YES,YES,
lf_sarande_al_tourism_seasonality,sarande-al,community_form,tourism_seasonality,HIGH_SEASONALITY,NOT_APPLICABLE,NOT_APPLICABLE,Tourist-season variability,"Existing narrative explicitly flags unstable annual-rental supply, summer crowding and price pressure.","Batch #2 workbook (existing, untouched v3.2)",,,HIGH,YES,YES,
lf_sarande_al_coastal_setting,sarande-al,natural_setting,coastal_setting,NOT_APPLICABLE,STRONG,IN_DESTINATION,Coastal setting,Located directly on the Ionian Sea opposite Corfu.,akt.gov.al,https://akt.gov.al/en/cities/Saranda/,2026-08-27,HIGH,YES,YES,
lf_sarande_al_beach_access,sarande-al,natural_setting,beach_access,DIRECT_ACCESS,NOT_APPLICABLE,IN_DESTINATION,Beach access,Mirrors existing DESTINATIONS.beach_access = DIRECT_ACCESS.,DESTINATIONS.beach_access (existing authoritative field),,,HIGH,NO,YES,"Mirrored value, not independently researched."
lf_sarande_al_mountain_access,sarande-al,natural_setting,mountain_access,MOUNTAIN_SCENIC_ONLY,NOT_APPLICABLE,WITHIN_30_MIN,Mountain access,Mirrors existing DESTINATIONS.mountain_or_ski_access = MOUNTAIN_SCENIC_ONLY.,DESTINATIONS.mountain_or_ski_access (existing authoritative field),,,HIGH,NO,YES,"Mirrored value, not independently researched."
lf_sarande_al_lake_access,sarande-al,natural_setting,lake_access,NOT_APPLICABLE,MODERATE,WITHIN_30_MIN,Lake access,"Butrint National Park (existing PLACES day_trip entry) includes Lake Butrint, a coastal lagoon south of the city.",akt.gov.al,https://akt.gov.al/en/attractions/Butrint-National-Park/,2026-08-27,MEDIUM,YES,YES,
lf_sarande_al_river_access,sarande-al,natural_setting,river_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,River access,No named river confirmed within the destination or immediate area this pass.,,,,LOW,NO,YES,
lf_sarande_al_forest_access,sarande-al,natural_setting,forest_access,NOT_APPLICABLE,MODERATE,WITHIN_30_MIN,Forest / woodland access,Ceraunian coastal hills/Cape Stilo area include Mediterranean maquis/forested terrain near the city.,akt.gov.al,https://akt.gov.al/en/tourist_areas/Cape-of-Stilo/,2026-08-27,MEDIUM,YES,YES,
lf_sarande_al_desert_setting,sarande-al,natural_setting,desert_setting,NOT_APPLICABLE,NONE,NOT_APPLICABLE,Desert setting,Mediterranean coastal climate; no arid/desert biome.,General Mediterranean-coastal climate knowledge (not independently sourced to an official climate-normal record this pass),,,LOW,NO,YES,
lf_sarande_al_countryside_access,sarande-al,natural_setting,countryside_access,NOT_APPLICABLE,MODERATE,WITHIN_30_MIN,Countryside access,Regional agrotourism resorts (e.g. Mesopotam) confirm nearby rural/countryside character.,akt.gov.al,https://akt.gov.al/en/agrotourism/mesopotamian-agrotourism-resort/,2026-08-27,MEDIUM,YES,YES,
lf_sarande_al_snow_access,sarande-al,natural_setting,snow_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Snow / winter-scenery access,No ski area identified; regional hills are scenic-only per existing mountain_or_ski_access field.,,,,LOW,NO,YES,
lf_sarande_al_marina_access,sarande-al,water_and_boating,marina_access,NOT_APPLICABLE,LIMITED,IN_DESTINATION,Marina access,"Existing PLACES 'Sarande Port / Corfu ferry terminal' is a commercial/passenger port; no confirmed dedicated leisure-boat marina facilities (slips, fuel dock) were found.","Batch #2 workbook (existing, untouched v3.2)",,,MEDIUM,YES,YES,"Do not overstate: this is primarily a ferry port, not a leisure marina."
lf_sarande_al_boat_launch_access,sarande-al,water_and_boating,boat_launch_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Boat ramp / launch access,No public boat ramp specifically confirmed this pass.,,,,LOW,NO,YES,
lf_sarande_al_slip_or_mooring_access,sarande-al,water_and_boating,slip_or_mooring_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Boat slip / mooring availability,No slip/mooring rate or capacity information found for the port this pass.,,,,LOW,NO,YES,
lf_sarande_al_powerboating_access,sarande-al,water_and_boating,powerboating_access,NOT_APPLICABLE,LIMITED,WITHIN_30_MIN,Powerboating,"Regional boat-tour operators (e.g. to Ksamil/Blue Eye) are widely known to exist along this coast, but no specific operator was verified this pass.",,,,LOW,NO,YES,
lf_sarande_al_sailing_access,sarande-al,water_and_boating,sailing_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Sailing,No sailing club/operator confirmed this pass.,,,,LOW,NO,YES,
lf_sarande_al_fishing_access,sarande-al,water_and_boating,fishing_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Fishing access,"No named fishing access point confirmed this pass, though coastal fishing is plausible.",,,,LOW,NO,YES,
lf_sarande_al_kayaking_access,sarande-al,water_and_boating,kayaking_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Kayaking,No confirmed outfitter this pass.,,,,LOW,NO,YES,
lf_sarande_al_paddleboarding_access,sarande-al,water_and_boating,paddleboarding_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Paddleboarding,No confirmed outfitter this pass.,,,,LOW,NO,YES,
lf_sarande_al_swimming_access,sarande-al,water_and_boating,swimming_access,NOT_APPLICABLE,STRONG,IN_DESTINATION,Swimming access,"Existing PLACES beach rows (Sarande city beach, Mirror Beach, Mango Beach) though city beach itself is noted as having variable water/shore conditions.","Batch #2 workbook (existing, untouched v3.2)",,,MEDIUM,YES,YES,Existing PLACES evidence.
lf_sarande_al_surfing_access,sarande-al,water_and_boating,surfing_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Surfing,"No source describing surf conditions or culture was found in this pass; this reflects a research gap, not a confirmed absence.",,,,LOW,NO,YES,
lf_sarande_al_scuba_snorkeling_access,sarande-al,water_and_boating,scuba_snorkeling_access,NOT_APPLICABLE,MODERATE,WITHIN_30_MIN,Scuba diving / snorkeling,"The Albanian Riviera/Ksamil area (existing PLACES day_trip entry) is regionally known for snorkeling/diving tourism, but no specific dive operator was verified this pass.",,,,LOW,NO,YES,Confidence intentionally kept LOW pending operator-level verification.
lf_sarande_al_golf_access,sarande-al,outdoor_recreation,golf_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Golf access,No PLACES row and no course confirmed this pass.,,,,LOW,NO,YES,
lf_sarande_al_pickleball_access,sarande-al,outdoor_recreation,pickleball_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Pickleball,No evidence found either way.,,,,LOW,NO,NO,
lf_sarande_al_tennis_access,sarande-al,outdoor_recreation,tennis_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Tennis,No evidence found either way.,,,,LOW,NO,NO,
lf_sarande_al_skiing_snowboarding_access,sarande-al,outdoor_recreation,skiing_snowboarding_access,NOT_APPLICABLE,NONE,NOT_APPLICABLE,Skiing / snowboarding,"The existing authoritative DESTINATIONS.mountain_or_ski_access field already classifies this destination's mountain access as MOUNTAIN_SCENIC_ONLY (scenic access without ski-resort infrastructure), which directly establishes the absence of local skiing.",DESTINATIONS.mountain_or_ski_access (existing authoritative field),,,MEDIUM,YES,YES,
lf_sarande_al_hiking_access,sarande-al,outdoor_recreation,hiking_access,NOT_APPLICABLE,MODERATE,WITHIN_30_MIN,Hiking,Lekuresi Castle hilltop viewpoint and Butrint area offer walkable regional terrain.,akt.gov.al,https://akt.gov.al/en/attractions/lekuresit-castle-lekuresit-castle/,2026-08-27,MEDIUM,YES,YES,
lf_sarande_al_trail_access,sarande-al,outdoor_recreation,trail_access,NOT_APPLICABLE,LIMITED,IN_DESTINATION,Walking / multi-use trails,"Existing PLACES has the city promenade as a walking spine, but no dedicated trail network confirmed.","Batch #2 workbook (existing, untouched v3.2)",,,MEDIUM,YES,YES,Existing PLACES evidence.
lf_sarande_al_road_cycling_access,sarande-al,outdoor_recreation,road_cycling_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Road cycling,No evidence found either way.,,,,LOW,NO,NO,
lf_sarande_al_mountain_biking_access,sarande-al,outdoor_recreation,mountain_biking_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Mountain biking,No evidence found either way.,,,,LOW,NO,NO,
lf_sarande_al_hunting_access,sarande-al,outdoor_recreation,hunting_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Recreational hunting access (general/regional only),"No destination-specific confirmation sought or found (general lawful access only, no licensing detail recorded).",,,,LOW,NO,YES,
lf_sarande_al_parks_open_space_access,sarande-al,outdoor_recreation,parks_open_space_access,NOT_APPLICABLE,MODERATE,IN_DESTINATION,Parks & open space,Existing PLACES park row: Friendship Park.,"Batch #2 workbook (existing, untouched v3.2)",,,HIGH,YES,YES,Existing PLACES evidence.
lf_sarande_al_arts_culture_strength,sarande-al,culture_and_daily_life,arts_culture_strength,NOT_APPLICABLE,MODERATE,NOT_APPLICABLE,Arts & culture strength,"Existing PLACES attraction/museum rows (Old Synagogue ruins, Lekuresi Castle, Monastery of 40 Saints, Monastery of Saint George).","Batch #2 workbook (existing, untouched v3.2)",,,HIGH,YES,YES,Existing PLACES evidence only.
lf_sarande_al_dining_strength,sarande-al,culture_and_daily_life,dining_strength,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Dining,No dedicated restaurant PLACES rows currently exist for this destination in the workbook; not independently researched this phase per scope.,,,,LOW,NO,YES,
lf_sarande_al_farmers_market_access,sarande-al,culture_and_daily_life,farmers_market_access,NOT_APPLICABLE,MODERATE,IN_DESTINATION,Farmers markets,Existing PLACES market row: Sarande municipal market.,"Batch #2 workbook (existing, untouched v3.2)",,,HIGH,YES,YES,Existing PLACES evidence.
lf_dumaguete_ph_settlement_type,dumaguete-ph,community_form,settlement_type,MID_SIZE_CITY,NOT_APPLICABLE,NOT_APPLICABLE,Community type,"Population 134,103 (workbook); city_type 'university coastal city'.","Batch #2 workbook (existing, untouched v3.2)",,,HIGH,YES,YES,PRIMARY
lf_dumaguete_ph_suburban_character,dumaguete-ph,community_form,suburban_character,NOT_APPLICABLE,NONE,NOT_APPLICABLE,Suburban character,"Dense (4,229/km2) urban core, not a suburban-form district.",Wikipedia,https://en.wikipedia.org/wiki/Dumaguete,2026-08-27,MEDIUM,YES,YES,
lf_dumaguete_ph_resort_orientation,dumaguete-ph,community_form,resort_orientation,NOT_APPLICABLE,MODERATE,NOT_APPLICABLE,Resort orientation,"Tourism is a major but not sole economic driver alongside academe, retail and BPO/IT.",Wikipedia,https://en.wikipedia.org/wiki/Dumaguete,2026-08-27,MEDIUM,YES,YES,
lf_dumaguete_ph_retirement_orientation,dumaguete-ph,community_form,retirement_orientation,NOT_APPLICABLE,STRONG,NOT_APPLICABLE,Retirement-community character,Named 'Best Place to Retire in the Philippines for 2018' by the Philippine Retirement Authority; also listed among Forbes' '7 Best Places to Retire Around the World'.,Philippine Retirement Authority (via Wikipedia citation),https://en.wikipedia.org/wiki/Dumaguete,2026-08-27,MEDIUM,YES,YES,
lf_dumaguete_ph_college_town_character,dumaguete-ph,community_form,college_town_character,NOT_APPLICABLE,STRONG,NOT_APPLICABLE,College-town character,"Home to Silliman University (first American/Protestant university in Asia) plus Foundation University, NORSU and St. Paul University; explicitly documented as a 'university city' / 'center of learning in the South'.",Wikipedia,https://en.wikipedia.org/wiki/Dumaguete,2026-08-27,MEDIUM,YES,YES,
lf_dumaguete_ph_master_planned_or_gated_character,dumaguete-ph,community_form,master_planned_or_gated_character,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Master-planned / gated community presence,No evidence found either way this pass.,,,,LOW,NO,YES,
