record_key,destination_key,feature_group,feature_key,feature_value,availability_level,proximity_band,display_label,evidence_summary,source_name,source_url,source_as_of_date,confidence,matching_enabled,display_enabled,notes
lf_the_villages_fl_us_arts_culture_strength,the-villages-fl-us,culture_and_daily_life,arts_culture_strength,NOT_APPLICABLE,MODERATE,NOT_APPLICABLE,Arts & culture strength,"Sharon L. Morse Performing Arts Center (1,000+ seats) and Studio Tierra Del Sol black-box theatre are both documented, alongside existing PLACES live_music entries.",Wikipedia,"https://en.wikipedia.org/wiki/The_Villages,_Florida",2026-08-27,MEDIUM,YES,YES,
lf_the_villages_fl_us_dining_strength,the-villages-fl-us,culture_and_daily_life,dining_strength,NOT_APPLICABLE,MODERATE,NOT_APPLICABLE,Dining,Existing PLACES restaurant/bakery/coffee_shop rows plus five commercial town-center districts with dining.,"Batch #1 workbook (existing, untouched v3.2)",,,HIGH,YES,YES,Existing PLACES evidence.
lf_the_villages_fl_us_farmers_market_access,the-villages-fl-us,culture_and_daily_life,farmers_market_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Farmers markets,No farmers_market PLACES row currently exists for this destination; not independently researched this phase per scope.,,,,LOW,NO,YES,
lf_sofia_bg_settlement_type,sofia-bg,community_form,settlement_type,MAJOR_URBAN_CORE,NOT_APPLICABLE,NOT_APPLICABLE,Community type,"Population 1,299,872; national capital; city_type 'European capital city'.","Batch #1 workbook (existing, untouched v3.2)",,,HIGH,YES,YES,PRIMARY
lf_sofia_bg_suburban_character,sofia-bg,community_form,suburban_character,NOT_APPLICABLE,NONE,NOT_APPLICABLE,Suburban character,"A dense national-capital urban core, not a suburban-form district.",Wikipedia,https://en.wikipedia.org/wiki/Sofia,2026-08-27,MEDIUM,YES,YES,
lf_sofia_bg_resort_orientation,sofia-bg,community_form,resort_orientation,NOT_APPLICABLE,NONE,NOT_APPLICABLE,Resort orientation,"Sofia is documented as Bulgaria's economic hub (services, IT, manufacturing), not a resort/tourism-led economy.",Wikipedia,https://en.wikipedia.org/wiki/Sofia,2026-08-27,MEDIUM,YES,YES,
lf_sofia_bg_retirement_orientation,sofia-bg,community_form,retirement_orientation,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Retirement-community character,No official retirement-specific recognition or data found in this research pass.,,,,LOW,NO,YES,
lf_sofia_bg_college_town_character,sofia-bg,community_form,college_town_character,NOT_APPLICABLE,MODERATE,NOT_APPLICABLE,College-town character,"Hosts 23 of Bulgaria's 51 higher-education institutions and more than 105,000 university students, though this is secondary to Sofia's primary identity as the national capital.",Wikipedia,https://en.wikipedia.org/wiki/Sofia,2026-08-27,MEDIUM,YES,YES,
lf_sofia_bg_master_planned_or_gated_character,sofia-bg,community_form,master_planned_or_gated_character,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Master-planned / gated community presence,No evidence found either way this pass.,,,,LOW,NO,YES,
lf_sofia_bg_community_energy,sofia-bg,community_form,community_energy,BALANCED,NOT_APPLICABLE,NOT_APPLICABLE,Everyday atmosphere,A pedestrianized central shopping/cafe boulevard (Vitosha Boulevard) and an extensive performing-arts/museum scene coexist with a conventional capital-city daily pace; no extreme quiet or nightlife-first characterization was found.,Wikipedia,https://en.wikipedia.org/wiki/Sofia,2026-08-27,MEDIUM,YES,YES,
lf_sofia_bg_tourism_seasonality,sofia-bg,community_form,tourism_seasonality,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,Tourist-season variability,No visitor-seasonality data specific to Sofia (as opposed to Bulgaria's coastal/mountain resorts) was found in this research pass.,,,,LOW,NO,YES,
lf_sofia_bg_coastal_setting,sofia-bg,natural_setting,coastal_setting,NOT_APPLICABLE,NONE,NOT_APPLICABLE,Coastal setting,"Sofia is an inland capital in the Sofia Valley at the foot of Vitosha mountain, surrounded by mountains on all sides; no coastal frontage.",Wikipedia,https://en.wikipedia.org/wiki/Sofia,2026-08-27,MEDIUM,YES,YES,
lf_sofia_bg_beach_access,sofia-bg,natural_setting,beach_access,NONE,NOT_APPLICABLE,NONE,Beach access,Mirrors existing DESTINATIONS.beach_access = NONE.,DESTINATIONS.beach_access (existing authoritative field),,,HIGH,NO,YES,"Mirrored value, not independently researched."
lf_sofia_bg_mountain_access,sofia-bg,natural_setting,mountain_access,SKI_RESORT_ACCESS,NOT_APPLICABLE,IN_DESTINATION,Mountain access,Mirrors existing DESTINATIONS.mountain_or_ski_access = SKI_RESORT_ACCESS.,DESTINATIONS.mountain_or_ski_access (existing authoritative field),,,HIGH,NO,YES,"Mirrored value, not independently researched. See skiing_snowboarding_access for an important operational nuance found this pass."
lf_sofia_bg_lake_access,sofia-bg,natural_setting,lake_access,NOT_APPLICABLE,LIMITED,NOT_APPLICABLE,Lake access,"Wikipedia notes 'artificial and dam lakes were built in the twentieth century' in the Sofia area, but no specific named lake or its access details were confirmed.",Wikipedia,https://en.wikipedia.org/wiki/Sofia,2026-08-27,MEDIUM,YES,YES,
lf_sofia_bg_river_access,sofia-bg,natural_setting,river_access,NOT_APPLICABLE,STRONG,IN_DESTINATION,River access,"Several shallow rivers cross the city itself (Boyanska, Vladayska, Perlovska) and the Iskar River's upper course flows near eastern Sofia.",Wikipedia,https://en.wikipedia.org/wiki/Sofia,2026-08-27,MEDIUM,YES,YES,
lf_sofia_bg_forest_access,sofia-bg,natural_setting,forest_access,NOT_APPLICABLE,STRONG,IN_DESTINATION,Forest / woodland access,"Vitosha Nature Park (the oldest national park in the Balkans, established 1934) directly borders the city and includes extensive spruce/fir/beech forest.",Wikipedia,https://en.wikipedia.org/wiki/Vitosha,2026-08-27,MEDIUM,YES,YES,
lf_sofia_bg_desert_setting,sofia-bg,natural_setting,desert_setting,NOT_APPLICABLE,NONE,NOT_APPLICABLE,Desert setting,Humid continental climate (Koppen Dfb); no arid/desert biome.,Wikipedia,https://en.wikipedia.org/wiki/Sofia,2026-08-27,MEDIUM,YES,YES,
lf_sofia_bg_countryside_access,sofia-bg,natural_setting,countryside_access,NOT_APPLICABLE,MODERATE,WITHIN_30_MIN,Countryside access,Surrounded by the more rural Sofia Province beyond the Sofia City Province boundary.,Wikipedia,https://en.wikipedia.org/wiki/Sofia,2026-08-27,MEDIUM,YES,YES,
lf_sofia_bg_snow_access,sofia-bg,natural_setting,snow_access,NOT_APPLICABLE,STRONG,NOT_APPLICABLE,Snow / winter-scenery access,Official climate-normal data cited by Wikipedia shows an average of 98cm of annual snowfall and 56 days of snow cover per year.,Wikipedia,https://en.wikipedia.org/wiki/Sofia,2026-08-27,MEDIUM,YES,YES,
lf_sofia_bg_marina_access,sofia-bg,water_and_boating,marina_access,NOT_APPLICABLE,NONE,NOT_APPLICABLE,Marina access,Inland capital with no coast and no lake/river large enough documented to support a marina.,Wikipedia,https://en.wikipedia.org/wiki/Sofia,2026-08-27,MEDIUM,YES,YES,
lf_sofia_bg_boat_launch_access,sofia-bg,water_and_boating,boat_launch_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Boat ramp / launch access,No boat ramp identified in this research pass.,,,,LOW,NO,YES,
lf_sofia_bg_slip_or_mooring_access,sofia-bg,water_and_boating,slip_or_mooring_access,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Boat slip / mooring availability,No marina exists at the destination (see marina_access).,Derived from this evidence set's marina_access finding,,,MEDIUM,YES,YES,
lf_sofia_bg_powerboating_access,sofia-bg,water_and_boating,powerboating_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Powerboating,No powerboating operator/infrastructure identified in this research pass.,,,,LOW,NO,YES,
lf_sofia_bg_sailing_access,sofia-bg,water_and_boating,sailing_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Sailing,No sailing club/operator identified in this research pass.,,,,LOW,NO,YES,
lf_sofia_bg_fishing_access,sofia-bg,water_and_boating,fishing_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Fishing access,"No fishing access point confirmed this pass, though the city's rivers make it plausible.",,,,LOW,NO,YES,
lf_sofia_bg_kayaking_access,sofia-bg,water_and_boating,kayaking_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Kayaking,No kayaking outfitter/route identified in this research pass.,,,,LOW,NO,YES,
lf_sofia_bg_paddleboarding_access,sofia-bg,water_and_boating,paddleboarding_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Paddleboarding,No paddleboarding outfitter identified in this research pass.,,,,LOW,NO,YES,
lf_sofia_bg_swimming_access,sofia-bg,water_and_boating,swimming_access,NOT_APPLICABLE,LIMITED,NOT_APPLICABLE,Swimming access,"More than fifteen swimming complexes are documented, most outdoor, but these are constructed competition-pool facilities rather than confirmed natural swimming.",Wikipedia,https://en.wikipedia.org/wiki/Sofia,2026-08-27,MEDIUM,YES,YES,Distinguish constructed pools (confirmed) from natural-water swimming (not confirmed).
lf_sofia_bg_surfing_access,sofia-bg,water_and_boating,surfing_access,NOT_APPLICABLE,NONE,NOT_APPLICABLE,Surfing,Inland capital with no coastal frontage.,Wikipedia,https://en.wikipedia.org/wiki/Sofia,2026-08-27,MEDIUM,YES,YES,
lf_sofia_bg_scuba_snorkeling_access,sofia-bg,water_and_boating,scuba_snorkeling_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Scuba diving / snorkeling,No dive/snorkel site confirmed in this research pass.,,,,LOW,NO,YES,
lf_sofia_bg_golf_access,sofia-bg,outdoor_recreation,golf_access,NOT_APPLICABLE,LIMITED,WITHIN_60_MIN,Golf access,"Two golf courses are documented just east of Sofia, in the nearby towns of Elin Pelin (St Sofia club) and Ihtiman (Air Sofia club) - both outside the city proper.",Wikipedia,https://en.wikipedia.org/wiki/Sofia,2026-08-27,MEDIUM,YES,YES,
lf_sofia_bg_pickleball_access,sofia-bg,outdoor_recreation,pickleball_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Pickleball,No evidence found either way.,,,,LOW,NO,NO,
lf_sofia_bg_tennis_access,sofia-bg,outdoor_recreation,tennis_access,NOT_APPLICABLE,MODERATE,IN_DESTINATION,Tennis,About ten tennis-court complexes are documented within the city.,Wikipedia,https://en.wikipedia.org/wiki/Sofia,2026-08-27,MEDIUM,YES,YES,
lf_sofia_bg_skiing_snowboarding_access,sofia-bg,outdoor_recreation,skiing_snowboarding_access,NOT_APPLICABLE,LIMITED,WITHIN_30_MIN,Skiing / snowboarding,"Vitosha mountain has historical ski infrastructure (multiple slopes built in the 1970s-80s), but Wikipedia documents that due to a dispute between the private operator and the municipality, 'most of the ski areas have been left to decay' and only one chairlift and one slope currently operate.",Wikipedia,https://en.wikipedia.org/wiki/Sofia,2026-08-27,MEDIUM,YES,YES,Important nuance: this refines but does not contradict the mirrored SKI_RESORT_ACCESS field - current operating capacity is limited.
lf_sofia_bg_hiking_access,sofia-bg,outdoor_recreation,hiking_access,NOT_APPLICABLE,STRONG,WITHIN_30_MIN,Hiking,"Vitosha Nature Park is described as a popular hiking destination with easy access via car, public transport, and two cable cars from the city outskirts.",Wikipedia,https://en.wikipedia.org/wiki/Vitosha,2026-08-27,MEDIUM,YES,YES,
lf_sofia_bg_trail_access,sofia-bg,outdoor_recreation,trail_access,NOT_APPLICABLE,MODERATE,IN_DESTINATION,Walking / multi-use trails,Existing PLACES trail row (Vitosha Nature Park) plus Borisova Gradina and South Park walking areas.,"Batch #1 workbook (existing, untouched v3.2)",,,HIGH,YES,YES,Existing PLACES evidence.
lf_sofia_bg_road_cycling_access,sofia-bg,outdoor_recreation,road_cycling_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Road cycling,No confirmed cycling route this pass.,,,,LOW,NO,YES,
lf_sofia_bg_mountain_biking_access,sofia-bg,outdoor_recreation,mountain_biking_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Mountain biking,No evidence found either way.,,,,LOW,NO,NO,
lf_sofia_bg_hunting_access,sofia-bg,outdoor_recreation,hunting_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Recreational hunting access (general/regional only),No destination-specific confirmation sought or found.,,,,LOW,NO,YES,
lf_sofia_bg_parks_open_space_access,sofia-bg,outdoor_recreation,parks_open_space_access,NOT_APPLICABLE,STRONG,IN_DESTINATION,Parks & open space,"Four principal parks (Borisova gradina, South, Western, Northern) plus several smaller central parks and the adjoining Vitosha Nature Park.",Wikipedia,https://en.wikipedia.org/wiki/Sofia,2026-08-27,MEDIUM,YES,YES,
lf_sofia_bg_arts_culture_strength,sofia-bg,culture_and_daily_life,arts_culture_strength,NOT_APPLICABLE,STRONG,NOT_APPLICABLE,Arts & culture strength,"National Gallery (merging the National Art Gallery, National Gallery for Foreign Art and Museum of Contemporary Art), National Archaeological Museum, Ivan Vazov National Theatre, and National Opera and Ballet are all documented, alongside existing PLACES museum rows.",Wikipedia,https://en.wikipedia.org/wiki/Sofia,2026-08-27,MEDIUM,YES,YES,
lf_sofia_bg_dining_strength,sofia-bg,culture_and_daily_life,dining_strength,NOT_APPLICABLE,MODERATE,NOT_APPLICABLE,Dining,Existing PLACES restaurant/bakery/coffee_shop rows plus Vitosha Boulevard's documented cafe/restaurant corridor.,"Batch #1 workbook (existing, untouched v3.2)",,,HIGH,YES,YES,Existing PLACES evidence.
lf_sofia_bg_farmers_market_access,sofia-bg,culture_and_daily_life,farmers_market_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Farmers markets,No farmers_market PLACES row currently exists for this destination; not independently researched this phase.,,,,LOW,NO,YES,
lf_puerto_vallarta_mx_settlement_type,puerto-vallarta-mx,community_form,settlement_type,RESORT_COMMUNITY,NOT_APPLICABLE,NOT_APPLICABLE,Community type,city_type 'Coastal resort city'; tourism makes up roughly 80% of the city's economic activity per Wikipedia.,"Batch #1 workbook (existing, untouched v3.2)",,,HIGH,YES,YES,PRIMARY
lf_puerto_vallarta_mx_settlement_type_2,puerto-vallarta-mx,community_form,settlement_type,MID_SIZE_CITY,NOT_APPLICABLE,NOT_APPLICABLE,Community type,"Population 224,166 in the city proper (291,839 in the full municipality, per the 2020 census).",Wikipedia,https://en.wikipedia.org/wiki/Puerto_Vallarta,2026-08-27,MEDIUM,YES,YES,SECONDARY
lf_puerto_vallarta_mx_suburban_character,puerto-vallarta-mx,community_form,suburban_character,NOT_APPLICABLE,NONE,NOT_APPLICABLE,Suburban character,"A standalone coastal resort city, not a suburb of a larger metropolitan area.",Wikipedia,https://en.wikipedia.org/wiki/Puerto_Vallarta,2026-08-27,MEDIUM,YES,YES,
lf_puerto_vallarta_mx_resort_orientation,puerto-vallarta-mx,community_form,resort_orientation,NOT_APPLICABLE,STRONG,NOT_APPLICABLE,Resort orientation,"Tourism makes up approximately 80% of the city's economic activity as of 2020, with nearly 80% of the workforce employed in tourism-related industries.",Wikipedia,https://en.wikipedia.org/wiki/Puerto_Vallarta,2026-08-27,MEDIUM,YES,YES,
lf_puerto_vallarta_mx_retirement_orientation,puerto-vallarta-mx,community_form,retirement_orientation,NOT_APPLICABLE,MODERATE,NOT_APPLICABLE,Retirement-community character,"Documented as 'a popular retirement destination for U.S. and Canadian retirees,' with dedicated real-estate-tourism neighborhoods and roughly 40% of real-estate buyers being American.",Wikipedia,https://en.wikipedia.org/wiki/Puerto_Vallarta,2026-08-27,MEDIUM,YES,YES,
